0,Experiment_2023-10-06T18:43:55.290472_apollo_1_Training - fixed.log,apollo,Training - fixed,1,2023-10-06 18:43:55.290472,
1,Experiment_2023-10-07T17:33:26.622301_apollo_2_Training - fixed.log,apollo,Training - fixed,2,2023-10-07 17:33:26.622301,0 days 22:49:31.331829
2,Experiment_2023-10-08T17:01:24.908365_apollo_3_Training - fixed.log,apollo,Training - fixed,3,2023-10-08 17:01:24.908365,0 days 23:27:58.286064
3,Experiment_2023-10-09T10:17:33.693352_apollo_4_Training randomised Type 2.log,apollo,Training randomised Type 2,4,2023-10-09 10:17:33.693352,0 days 17:16:08.784987
4,Experiment_2023-10-09T17:45:46.540359_apollo_5_Training randomised Type 1.log,apollo,Training randomised Type 1,5,2023-10-09 17:45:46.540359,0 days 07:28:12.847007
5,Experiment_2023-10-10T17:12:49.514733_apollo_6_Training randomised Type 2.log,apollo,Training randomised Type 2,6,2023-10-10 17:12:49.514733,0 days 23:27:02.974374
6,Experiment_2023-10-11T09:07:26.645788_apollo_7_Test Type 1.log,apollo,Test Type 1,7,2023-10-11 09:07:26.645788,0 days 15:54:37.131055
7,Experiment_2023-10-17T11:03:37.586522_apollo_8_Test Type 2.log,apollo,Test Type 2,8,2023-10-17 11:03:37.586522,6 days 01:56:10.940734
8,Experiment_2023-10-21T16:51:13.820180_apollo_9_Test Type 3.log,apollo,Test Type 3,9,2023-10-21 16:51:13.820180,4 days 05:47:36.233658
9,Experiment_2023-10-22T12:32:10.229170_apollo_10_Test Type 1.log,apollo,Test Type 1,10,2023-10-22 12:32:10.229170,0 days 19:40:56.408990
10,Experiment_2023-10-06T13:21:53.770221_ash_2_Training - fixed.log,ash,Training - fixed,2,2023-10-06 13:21:53.770221,-16 days +00:49:43.541051
11,Experiment_2023-10-07T11:27:44.914673_ash_3_Training - fixed.log,ash,Training - fixed,3,2023-10-07 11:27:44.914673,0 days 22:05:51.144452
12,Experiment_2023-10-08T11:03:05.275380_ash_4_Training - fixed.log,ash,Training - fixed,4,2023-10-08 11:03:05.275380,0 days 23:35:20.360707
13,Experiment_2023-10-09T11:42:20.024754_ash_5_Training randomised Type 1.log,ash,Training randomised Type 1,5,2023-10-09 11:42:20.024754,1 days 00:39:14.749374
14,Experiment_2023-10-10T11:11:42.463329_ash_6_Test Type 1.log,ash,Test Type 1,6,2023-10-10 11:11:42.463329,0 days 23:29:22.438575
15,Experiment_2023-10-16T10:39:05.806462_ash_8_Test Type 2.log,ash,Test Type 2,8,2023-10-16 10:39:05.806462,5 days 23:27:23.343133
16,Experiment_2023-10-20T11:05:31.583763_ash_9_Test Type 3.log,ash,Test Type 3,9,2023-10-20 11:05:31.583763,4 days 00:26:25.777301
17,Experiment_2023-10-20T17:37:43.849099_ash_10_Test Type 1.log,ash,Test Type 1,10,2023-10-20 17:37:43.849099,0 days 06:32:12.265336
18,Experiment_2023-10-06T12:49:44.174442_atom_2_Training - fixed.log,atom,Training - fixed,2,2023-10-06 12:49:44.174442,-15 days +19:12:00.325343
19,Experiment_2023-10-07T10:47:41.820683_atom_3_Training - fixed.log,atom,Training - fixed,3,2023-10-07 10:47:41.820683,0 days 21:57:57.646241
20,Experiment_2023-10-08T10:29:55.247254_atom_5_Training randomised Type 1.log,atom,Training randomised Type 1,5,2023-10-08 10:29:55.247254,0 days 23:42:13.426571
21,Experiment_2023-10-09T11:06:00.505868_atom_6_Training randomised Type 2.log,atom,Training randomised Type 2,6,2023-10-09 11:06:00.505868,1 days 00:36:05.258614
22,Experiment_2023-10-10T10:31:23.027937_atom_7_Training randomised Type 1.log,atom,Training randomised Type 1,7,2023-10-10 10:31:23.027937,0 days 23:25:22.522069
23,Experiment_2023-10-11T10:26:14.965471_atom_8_Test Type 1.log,atom,Test Type 1,8,2023-10-11 10:26:14.965471,0 days 23:54:51.937534
24,Experiment_2023-10-12T12:02:37.453239_atom_9_Test Type 2.log,atom,Test Type 2,9,2023-10-12 12:02:37.453239,1 days 01:36:22.487768
25,Experiment_2023-10-19T11:50:35.226661_atom_10_Test Type 3.log,atom,Test Type 3,10,2023-10-19 11:50:35.226661,6 days 23:47:57.773422
26,Experiment_2023-10-20T10:00:38.306565_atom_11_Test Type 1.log,atom,Test Type 1,11,2023-10-20 10:00:38.306565,0 days 22:10:03.079904
27,Experiment_2023-10-06T18:04:47.757500_bonnie_53_Training - fixed.log,bonnie,Training - fixed,53,2023-10-06 18:04:47.757500,-14 days +08:04:09.450935
28,Experiment_2023-10-06T20:06:03.009376_bonnie_54_Training - fixed.log,bonnie,Training - fixed,54,2023-10-06 20:06:03.009376,0 days 02:01:15.251876
29,Experiment_2023-10-07T16:55:59.174334_bonnie_55_Training - fixed.log,bonnie,Training - fixed,55,2023-10-07 16:55:59.174334,0 days 20:49:56.164958
30,Experiment_2023-10-08T16:09:32.654028_bonnie_56_Training - fixed.log,bonnie,Training - fixed,56,2023-10-08 16:09:32.654028,0 days 23:13:33.479694
31,Experiment_2023-10-09T17:04:07.650916_bonnie_63_Training randomised Type 1.log,bonnie,Training randomised Type 1,63,2023-10-09 17:04:07.650916,1 days 00:54:34.996888
32,Experiment_2023-10-10T16:33:32.580268_bonnie_73_Test Type 1.log,bonnie,Test Type 1,73,2023-10-10 16:33:32.580268,0 days 23:29:24.929352
33,Experiment_2023-10-17T14:37:07.416285_bonnie_77_Test Type 2.log,bonnie,Test Type 2,77,2023-10-17 14:37:07.416285,6 days 22:03:34.836017
34,Experiment_2023-10-21T15:57:40.059715_bonnie_78_Test Type 3.log,bonnie,Test Type 3,78,2023-10-21 15:57:40.059715,4 days 01:20:32.643430
35,Experiment_2023-10-22T11:36:41.453331_bonnie_79_Test Type 1.log,bonnie,Test Type 1,79,2023-10-22 11:36:41.453331,0 days 19:39:01.393616
36,Experiment_2023-11-15T00:39:50.244185_clover_nan_Test Type 1.log,clover,Test Type 1,,2023-11-15 00:39:50.244185,23 days 13:03:08.790854
37,Experiment_2023-11-13T20:54:16.427672_clover_nan_Training randomised Type 1.log,clover,Training randomised Type 1,,2023-11-13 20:54:16.427672,-2 days +20:14:26.183487
38,Experiment_2023-11-14T16:29:57.013745_clover_nan_Test Type 1.log,clover,Test Type 1,,2023-11-14 16:29:57.013745,0 days 19:35:40.586073
39,Experiment_2023-11-13T13:01:26.435669_clover_nan_Training - fixed.log,clover,Training - fixed,,2023-11-13 13:01:26.435669,-2 days +20:31:29.421924
40,Experiment_2023-11-13T04:02:49.575872_clover_nan_Training - fixed.log,clover,Training - fixed,,2023-11-13 04:02:49.575872,-1 days +15:01:23.140203
41,Experiment_2023-11-17T05:22:49.445377_clover_nan_Test Type 1.log,clover,Test Type 1,,2023-11-17 05:22:49.445377,4 days 01:19:59.869505
42,Experiment_2023-11-14T07:17:26.885747_clover_nan_Training randomised Type 2.log,clover,Training randomised Type 2,,2023-11-14 07:17:26.885747,-3 days +01:54:37.440370
43,Experiment_2023-11-17T01:23:36.375164_clover_nan_Test Type 3.log,clover,Test Type 3,,2023-11-17 01:23:36.375164,2 days 18:06:09.489417
44,Experiment_2023-11-13T20:49:33.970464_clover_nan_Training randomised Type 1.log,clover,Training randomised Type 1,,2023-11-13 20:49:33.970464,-4 days +19:25:57.595300
45,Experiment_2023-11-15T23:18:27.463685_clover_nan_Test Type 2.log,clover,Test Type 2,,2023-11-15 23:18:27.463685,2 days 02:28:53.493221
46,Experiment_2023-10-06T15:37:08.619329_dodge_1_Training - fixed.log,dodge,Training - fixed,1,2023-10-06 15:37:08.619329,-41 days +16:18:41.155644
47,Experiment_2023-10-07T14:30:16.073357_dodge_2_Training - fixed.log,dodge,Training - fixed,2,2023-10-07 14:30:16.073357,0 days 22:53:07.454028
48,Experiment_2023-10-08T13:10:43.954358_dodge_3_Training - fixed.log,dodge,Training - fixed,3,2023-10-08 13:10:43.954358,0 days 22:40:27.881001
49,Experiment_2023-10-09T14:28:21.463730_dodge_4_Training randomised Type 1.log,dodge,Training randomised Type 1,4,2023-10-09 14:28:21.463730,1 days 01:17:37.509372
50,Experiment_2023-10-10T13:58:22.293380_dodge_5_Test Type 1.log,dodge,Test Type 1,5,2023-10-10 13:58:22.293380,0 days 23:30:00.829650
51,Experiment_2023-10-17T15:27:19.799243_dodge_6_Test Type 2.log,dodge,Test Type 2,6,2023-10-17 15:27:19.799243,7 days 01:28:57.505863
52,Experiment_2023-10-21T13:11:05.817830_dodge_7_Test Type 3.log,dodge,Test Type 3,7,2023-10-21 13:11:05.817830,3 days 21:43:46.018587
53,Experiment_2023-10-22T10:49:33.650259_dodge_8_Test Type 1.log,dodge,Test Type 1,8,2023-10-22 10:49:33.650259,0 days 21:38:27.832429
54,Experiment_2023-10-06T17:27:12.851047_dougie_1_Training - fixed.log,dougie,Training - fixed,1,2023-10-06 17:27:12.851047,-16 days +06:37:39.200788
55,Experiment_2023-10-07T16:13:17.750963_dougie_2_Training - fixed.log,dougie,Training - fixed,2,2023-10-07 16:13:17.750963,0 days 22:46:04.899916
56,Experiment_2023-10-08T15:37:37.287527_dougie_3_Training randomised Type 1.log,dougie,Training randomised Type 1,3,2023-10-08 15:37:37.287527,0 days 23:24:19.536564
57,Experiment_2023-10-09T15:25:36.471599_dougie_7_Training randomised Type 2.log,dougie,Training randomised Type 2,7,2023-10-09 15:25:36.471599,0 days 23:47:59.184072
58,Experiment_2023-10-10T16:00:54.429454_dougie_8_Test Type 1.log,dougie,Test Type 1,8,2023-10-10 16:00:54.429454,1 days 00:35:17.957855
59,Experiment_2023-10-16T16:24:46.288311_dougie_9_Test Type 2.log,dougie,Test Type 2,9,2023-10-16 16:24:46.288311,6 days 00:23:51.858857
60,Experiment_2023-10-20T15:32:07.559818_dougie_10_Test Type 3.log,dougie,Test Type 3,10,2023-10-20 15:32:07.559818,3 days 23:07:21.271507
61,Experiment_2023-10-21T15:03:31.439944_dougie_11_Test Type 1.log,dougie,Test Type 1,11,2023-10-21 15:03:31.439944,0 days 23:31:23.880126
62,Experiment_2023-11-13T01:06:46.118598_dusty_1.0_Training - fixed.log,dusty,Training - fixed,1,2023-11-13 01:06:46.118598,22 days 10:03:14.678654
63,Experiment_2023-11-13T10:22:11.789817_dusty_2.0_Training - fixed.log,dusty,Training - fixed,2,2023-11-13 10:22:11.789817,0 days 09:15:25.671219
64,Experiment_2023-11-13T18:03:46.698927_dusty_3.0_Training randomised Type 1.log,dusty,Training randomised Type 1,3,2023-11-13 18:03:46.698927,0 days 07:41:34.909110
65,Experiment_2023-11-14T04:38:56.660845_dusty_4.0_Training randomised Type 2.log,dusty,Training randomised Type 2,4,2023-11-14 04:38:56.660845,0 days 10:35:09.961918
66,Experiment_2023-11-14T12:13:40.543722_dusty_6.0_Training randomised Type 1.log,dusty,Training randomised Type 1,6,2023-11-14 12:13:40.543722,0 days 07:34:43.882877
67,Experiment_2023-11-14T20:37:30.423056_dusty_7.0_Test Type 1.log,dusty,Test Type 1,7,2023-11-14 20:37:30.423056,0 days 08:23:49.879334
68,Experiment_2023-11-15T20:13:26.521959_dusty_8.0_Test Type 2.log,dusty,Test Type 2,8,2023-11-15 20:13:26.521959,0 days 23:35:56.098903
69,Experiment_2023-11-16T23:55:33.357304_dusty_9.0_Test Type 3.log,dusty,Test Type 3,9,2023-11-16 23:55:33.357304,1 days 03:42:06.835345
70,Experiment_2023-11-17T04:05:53.213724_dusty_10.0_Test Type 1.log,dusty,Test Type 1,10,2023-11-17 04:05:53.213724,0 days 04:10:19.856420
71,Experiment_2023-11-17T04:39:51.602365_dusty_11.0_Test Type 1.log,dusty,Test Type 1,11,2023-11-17 04:39:51.602365,0 days 00:33:58.388641
72,Experiment_2023-10-06T16:43:49.516057_filly_4_Training - fixed.log,filly,Training - fixed,4,2023-10-06 16:43:49.516057,-42 days +12:03:57.913692
73,Experiment_2023-10-07T15:21:21.434899_filly_5_Training - fixed.log,filly,Training - fixed,5,2023-10-07 15:21:21.434899,0 days 22:37:31.918842
74,Experiment_2023-10-08T13:50:54.095550_filly_6_Training randomised Type 1.log,filly,Training randomised Type 1,6,2023-10-08 13:50:54.095550,0 days 22:29:32.660651
75,Experiment_2023-10-09T15:20:02.348892_filly_8_Test Type 1.log,filly,Test Type 1,8,2023-10-09 15:20:02.348892,1 days 01:29:08.253342
76,Experiment_2023-10-10T09:46:31.020135_filly_9_Test Type 1.log,filly,Test Type 1,9,2023-10-10 09:46:31.020135,0 days 18:26:28.671243
77,Experiment_2023-10-16T15:32:34.409339_filly_10_Test Type 2.log,filly,Test Type 2,10,2023-10-16 15:32:34.409339,6 days 05:46:03.389204
78,Experiment_2023-10-20T14:08:54.608210_filly_11_Test Type 3.log,filly,Test Type 3,11,2023-10-20 14:08:54.608210,3 days 22:36:20.198871
79,Experiment_2023-10-21T14:15:00.246809_filly_12_Test Type 3.log,filly,Test Type 3,12,2023-10-21 14:15:00.246809,1 days 00:06:05.638599
80,Experiment_2023-11-16T05:15:17.737341_freya_nan_Test Type 3.log,freya,Test Type 3,,2023-11-16 05:15:17.737341,25 days 15:00:17.490532
81,Experiment_2023-11-16T11:37:18.984569_freya_nan_Test Type 1.log,freya,Test Type 1,,2023-11-16 11:37:18.984569,0 days 06:22:01.247228
82,Experiment_2023-11-13T10:57:03.527161_freya_nan_Training - fixed.log,freya,Training - fixed,,2023-11-13 10:57:03.527161,-4 days +23:19:44.542592
83,Experiment_2023-11-14T23:17:57.967289_freya_nan_Test Type 2.log,freya,Test Type 2,,2023-11-14 23:17:57.967289,1 days 12:20:54.440128
84,Experiment_2023-11-13T01:52:41.875007_freya_nan_Training - fixed.log,freya,Training - fixed,,2023-11-13 01:52:41.875007,-2 days +02:34:43.907718
85,Experiment_2023-11-14T05:29:24.069610_freya_nan_Test Type 1.log,freya,Test Type 1,,2023-11-14 05:29:24.069610,1 days 03:36:42.194603
86,Experiment_2023-11-13T19:19:51.364628_freya_nan_Training randomised Type 1.log,freya,Training randomised Type 1,,2023-11-13 19:19:51.364628,-1 days +13:50:27.295018
87,Experiment_2023-11-12T19:14:04.462174_george_1.0_Training - fixed.log,george,Training - fixed,1,2023-11-12 19:14:04.462174,-2 days +23:54:13.097546
88,Experiment_2023-11-13T06:05:07.391993_george_2.0_Training - fixed.log,george,Training - fixed,2,2023-11-13 06:05:07.391993,0 days 10:51:02.929819
89,Experiment_2023-11-13T14:49:56.787891_george_3.0_Training randomised Type 1.log,george,Training randomised Type 1,3,2023-11-13 14:49:56.787891,0 days 08:44:49.395898
90,Experiment_2023-11-14T00:25:42.956340_george_5.0_Test Type 1.log,george,Test Type 1,5,2023-11-14 00:25:42.956340,0 days 09:35:46.168449
91,Experiment_2023-11-15T02:59:50.231712_george_6.0_Test Type 2.log,george,Test Type 2,6,2023-11-15 02:59:50.231712,1 days 02:34:07.275372
